ID,Created,Name,Description,Playlist URL
b55b4d5632b246c681870404cc4dab4c,2026-04-29T12:32:37Z,Early 2000s,Peak flip‑phone era. Bring the hits (or deep cuts) from roughly 2000–2009.,https://open.spotify.com/playlist/5tGuDW1Fk1Wc7WfeK85NYK
433ee22df41349cdbc041591ffcc0428,2026-04-29T12:33:21Z,European Summer,"Soundtrack your Euro trip. Think beaches, clubs, terraces, and sunset drinks across the continent.",https://open.spotify.com/playlist/17lVE0UL5EqkSJFOGEKBlw
36ab7f6b32ea4d23b8a8c95a0c34c16e,2026-04-29T12:35:32Z,Marketing Jams,"Songs used in ads, branding moments, or campaigns that stuck in your head long after the commercial ended.",https://open.spotify.com/playlist/5yLELImvIyV4WimLy0l3Ip
64f1f044b67440a0b64ab5f03a7accde,2026-04-29T12:36:00Z,Songs Older Than the Player Submitting the Song,Dig into the archives. Submit a track that dropped before you were even born and prove good music is timeless.,https://open.spotify.com/playlist/6ycwHVBETJI6TW1YlbOUIG
edf00e1bf34d491bbc3d195275702bc9,2026-04-29T12:36:26Z,One‑Word Song Titles,Keep it simple. The entire title must be just one word.,https://open.spotify.com/playlist/6hrCqd1qpZf95UEZr6Vrka
67518b26dfe041749793990987db5398,2026-04-29T12:37:00Z,Festival Set Closers,"Big energy only. The kind of song that ends a set with hands up, voices gone, and no one wanting to leave.",https://open.spotify.com/playlist/3VtKaMncqaojlG11PBhbjN
f71eccc004314c0eb8feeb1987e705ce,2026-04-29T12:37:15Z,Duets or Group Vocals Only,"No solo acts. Every track must feature multiple voices working together, whether harmonizing or trading lines.",https://open.spotify.com/playlist/1yMOI9NmKDh2GgGaepRlrc
f795f7c8c9fb47bebdfa62625838b763,2026-04-29T12:37:32Z,Alternative Rock,"Guitars, edge, and attitude. From grunge-adjacent to indie mainstream, keep it alt.",https://open.spotify.com/playlist/6qWPESMR26VTJJUny5NVOw
e1908309e127469eb21010bbcccf9663,2026-04-29T12:38:11Z,City Songs (Song references a city explicitly),"Name a city in the song, title or lyrics. Take us somewhere specific.",https://open.spotify.com/playlist/4SxgfDoVXby3gmgnqX89nC
c399268c99464fa3b62163792d202408,2026-04-29T12:38:31Z,Wild Card Round,No rules. No theme. Just submit your best track and let chaos decide.,https://open.spotify.com/playlist/3ezfCqwQV5bk94tvKKtb30
